Name	Title	Description	URL
mitchell-weiss	Mitchell Weiss	Mitchell Weiss at University of Pennsylvania	http://www.med.upenn.edu/apps/faculty/index.php/g20000320/p14904
stephen-hauschka	Stephen Hauschka	Stephen Hauschka at University of Washington	http://depts.washington.edu/biowww/pages/faculty-Hauschka.shtml
ecacc	ECACC	Health Protection Agency Culture Collections	http://www.hpacultures.org.uk
steve-choi	Steve Choi	Steve Choi at Duke University	http://gastroenterology.medicine.duke.edu/faculty/details/0278358
ndri	NDRI	National Disease Research Interchange (NDRI)	http://ndriresource.org/
viacyte	ViaCyte	Vicatye, Inc.	http://viacyte.com/
jackson-labs	The Jackson Laboratory		http://www.jax.org/index.html
novus	Novus	Novus Biologicals	http://www.novusbio.com
tcesc	TCESC	Transgenic Core and Embryonic Stem Cell at University of California, San Diego	http://cancer.ucsd.edu/research-training/shared-resources/transgenic-core/Pages/default.aspx
wicell	WiCell	WiCell Research Institute	http://www.wicell.org/
arthur-skoultchi	Arthur Skoultchi	Arthur Skoultchi at Albert Einstein College of Medicine	http://www.einstein.yu.edu/faculty/4683/arthur-skoultchi/
bradley-bernstein	Bradley Bernstein	Bradley Bernstein at The Eli and Edythe L. Broad Institute of Harvard and MIT	https://csb.mgh.harvard.edu/bradley_bernstein
julie-ahringer	Julie Ahringer	Julie Ahringer at University of Cambridge	http://www.gurdon.cam.ac.uk/~ahringerlab/
rockland	Rockland	Rockland Immunochemicals	http://rockland-inc.com
guangshuo-ou	Guangshuo Ou	Guangshuo Ou at Center for Life Sciences	http://www.cls.edu.cn/english/PrincipalInvestigator/pi/index2187.shtml
eric-bouhassira	Eric Bouhassira	Eric Bouhassira at Albert Einstein College of Medicine	http://www.einstein.yu.edu/faculty/4981/eric-bouhassira/
eurogentec	Eurogentec	Eurogentec	http://www.eurogentec.com/eu-home.html
beverly-torok-storb	Beverly Torok-Storb	Beverly Torok-Storb at Fred Hutchison Cancer Research Center	http://cceh.fhcrc.org/
nichd-btb	NICHD BTB	The Eunice Kennedy Shriver NICHD Brain and Tissue Bank for Developmental Disorders at the University of Maryland	http://medschool.umaryland.edu/btbank/
shinya-yamanaka	Shinya Yamanaka	Shinya Yamanaka at University of California, San Francisco	http://gladstoneinstitutes.org/scientist/yamanaka
roberto-mantovani	Roberto Mantovani	Roberto Mantovani at Universita degli Studi di Milano	http://www.unimi.it/chiedove/schedaPersonaXML.jsp?matricola=12736
austin-smith	Austin Smith	Austin Smith at University of Cambridge	http://www.bioc.cam.ac.uk/uto/smitha
melanie-ehrlich-and-koji-tsumagari	Melanie Ehrlich and Koji Tsumagari	Melanie Ehrlich and Koji Tsumagari at Tulane University	http://tulane.edu/som/hayward-genetics/faculty/melanie-ehrlich.cfm
harvard-ipsc	Harvard iPSC	iPS Cell Core Facility at Harvard University	http://www.hsci.harvard.edu/research/ips-core-facility
ncascr	NCASCR	National Centre for Adult Stem Cell Research (NCASCR), Griffith University	http://www.griffith.edu.au/science-aviation/national-centre-adult-stem-cell-research
nichd	NICHD	National Institute of Child Health and Human Development (NICHD)	http://www.nichd.nih.gov/Pages/index.aspx
taconic	Taconic	Taconic Farms, Inc	http://www.taconic.com
nctc	NCTC	North Carolina Tissue Consortium (NCTC)	http://www.ecu.edu/cs-dhs/med/NcTissueConsortium.cfm
yoichi-shinkai	Yoichi Shinkai	Yoichi Shinkai at RIKEN	http://www.asi.riken.jp/en/laboratories/chieflabs/cml/
bdrl	BDRL	Birth Defect Research Laboratory	
valerie-reinke	Valerie Reinke	Valerie Reinke at Yale University	http://medicine.yale.edu/lab/reinke/index.aspx
lpbio	Lake Placid Biologicals	Lake Placid Biologicals	https://www.activemotif.com
sherman-weissman	Sherman Weissman	Sherman Weissman at Yale University	http://bbs.yale.edu/people/sherman_weissman.profile
richard-mann	Richard Mann	Richard Mann at Columbia University	http://themannlab.org
stephen-crews	Stephen Crews	Stephen Crews at University of North Carolina Chapel Hill	http://www.unc.edu/~crews/SteveC.html
ming-sound-tsao	Ming-Sound Tsao	Ming-Sound Tsao at Ontario Cancer Institute	http://www.uhnres.utoronto.ca/researchers/profile.php?lookup=6118
abclonal	ABclonal	ABclonal Technology	http://www.abclonal.com/
thomas-montine	Thomas Montine	Thomas Montine at University of Washington Deptartmen of Pathology	http://www.pathology.washington.edu/faculty/montine
biochain	BioChain	BioChain Institute Inc	http://www.biochain.com
bresagen	BresaGen	BresaGen, Inc	http://www.bresagen.com.au/
stephen-smale	Stephen Smale	Stephen Smale at University of California, Los Angeles	http://people.healthsciences.ucla.edu/institution/personnel?personnel_id=45693
richard-myers	Richard Myers	Richard Myers at the HudsonAlpha Institute for Biotechnology	
